Date,target_tb,proba_ebm,signal_ebm,proba_lgbm,signal_lgbm,proba_student,signal_student,regime,gamma_bull,signal_ebm_iter2,signal_ebm_breakout,signal_lgbm_iter2,signal_lgbm_breakout,signal_student_iter2,signal_student_breakout
2020-12-15,0,0.0643564356435643,0,0.5054164692484066,1,0.9954319761668324,1,0,9.817941884445241e-09,0,0,0,0,0,0
2020-12-16,0,0.0643564356435643,0,0.3092257605053566,1,0.8433451118963488,1,0,1.007761657561137e-06,0,0,0,0,0,0
2020-12-17,0,0.0375,0,0.2496522683370688,0,0.2208167661743263,0,0,1.5248979758580058e-06,0,0,0,0,0,0
2020-12-18,0,0.0,0,0.1587711702497651,0,0.2208167661743263,0,0,2.5187950496766875e-06,0,0,0,0,0,0
2020-12-21,1,0.0,0,0.234619867721103,0,0.2208167661743263,0,0,3.877646515388013e-06,0,0,0,0,0,0
2020-12-22,1,0.0,0,0.1919162146851271,0,0.2208167661743263,0,0,2.338896119045741e-10,0,0,0,0,0,0
2020-12-23,1,0.0,0,0.3601167417462708,1,0.8433451118963488,1,0,2.2137640873901834e-09,0,0,0,0,0,0
2020-12-24,1,0.0,0,0.3315082206048482,1,0.8433451118963488,1,0,1.7656440874037245e-08,0,0,0,0,0,0
2020-12-28,1,0.0,0,0.40718227398502,1,0.8433451118963488,1,0,1.4266375340574174e-06,0,0,0,0,0,0
2020-12-29,1,0.0,0,0.1170371502666108,0,0.0311802245482905,0,0,6.301876061862921e-07,0,0,0,0,0,0
2020-12-30,1,0.0,0,0.1656530230508789,0,0.2208167661743263,0,0,1.2149652735260203e-08,0,0,0,0,0,0
2020-12-31,0,0.0,0,0.170052114545496,0,0.2208167661743263,0,0,2.2663712951970864e-08,0,0,0,0,0,0
2021-01-04,1,0.0,0,0.1125822749946355,0,0.0311802245482905,0,0,2.0961149032867773e-08,0,0,0,0,0,0
2021-01-05,1,0.0,0,0.4876495546198033,1,0.9954319761668324,1,0,4.3835341897636714e-12,0,0,0,0,0,0
2021-01-06,1,0.0,0,0.416991437616674,1,0.8433451118963488,1,0,5.135366250625666e-10,0,0,0,0,0,0
2021-01-07,0,0.0,0,0.2609669226319538,0,0.2208167661743263,0,0,1.866433926967686e-09,0,0,0,0,0,0
2021-01-08,0,0.0,0,0.1452488062616277,0,0.0311802245482905,0,0,2.6786678515848485e-06,0,0,0,0,0,0
2021-01-11,0,0.0,0,0.1628540809082433,0,0.0311802245482905,0,0,6.175224976056392e-06,0,0,0,0,0,0
2021-01-12,0,0.0375,0,0.2408314495273482,0,0.0311802245482905,0,0,2.8483942544804783e-08,0,0,0,0,0,0
2021-01-13,0,0.0375,0,0.2717330185243944,0,0.2208167661743263,0,0,1.0434362217816896e-07,0,0,0,0,0,0
2021-01-14,1,0.0643564356435643,0,0.2614507515823388,0,0.2208167661743263,0,0,6.804287575585049e-07,0,0,0,0,0,0
2021-01-15,1,0.1333333333333333,0,0.3440152373252989,1,0.8433451118963488,1,0,3.5279762600431506e-08,0,0,0,0,0,0
2021-01-19,1,0.2307692307692307,0,0.5473953550419854,1,0.9954319761668324,1,0,6.763088450236479e-09,0,0,0,0,0,0
2021-01-20,0,0.0666666666666666,0,0.3895688525226982,1,0.8433451118963488,1,0,1.6285562190664325e-07,0,0,0,0,0,0
2021-01-21,0,0.0,0,0.1587744480078451,0,0.0311802245482905,0,0,9.804201236390834e-06,0,0,0,0,0,0
2021-01-22,0,0.0,0,0.2120207205037754,0,0.0311802245482905,0,0,9.054846873183029e-06,0,0,0,0,0,0
2021-01-25,0,0.0375,0,0.2957311832971973,0,0.2208167661743263,0,0,2.350556208250098e-06,0,0,0,0,0,0
2021-01-26,0,0.0,0,0.256264707874094,0,0.2208167661743263,0,0,4.5759709918507226e-08,0,0,0,0,0,0
2021-01-27,1,0.0643564356435643,0,0.2716214601506851,0,0.2208167661743263,0,0,5.646289675072924e-10,0,0,0,0,0,0
2021-01-28,1,0.2487046632124352,0,0.5991267627703329,1,0.9954319761668324,1,0,1.4976629472915432e-27,0,0,0,0,0,0
2021-01-29,1,0.2307692307692307,0,0.6040889915252698,1,0.9954319761668324,1,0,4.4058073664400266e-16,0,0,0,0,0,0
2021-02-01,1,0.2857142857142857,0,0.6042237965324978,1,0.9954319761668324,1,0,1.4900309672785752e-17,0,0,0,0,0,0
2021-02-02,1,0.0643564356435643,0,0.3763405421347084,1,0.857298356373136,1,0,4.820935479220276e-13,0,0,0,0,0,0
2021-02-03,1,0.0666666666666666,0,0.3482865477162327,1,0.8433451118963488,1,0,1.0217745836169138e-07,0,0,0,0,0,0
2021-02-04,0,0.0643564356435643,0,0.2247255416336744,0,0.2208167661743263,0,0,6.106918913523903e-06,0,0,0,0,0,0
2021-02-05,0,0.0,0,0.1666610294183677,0,0.2208167661743263,0,0,7.94592425677057e-05,0,0,0,0,0,0
2021-02-08,0,0.0,0,0.1715658766761415,0,0.0311802245482905,0,0,0.0002037412681865031,0,0,0,0,0,0
2021-02-09,0,0.0,0,0.1779453806195724,0,0.0311802245482905,0,0,0.00018882779390357052,0,0,0,0,0,0
2021-02-10,0,0.0,0,0.2111716032648422,0,0.0311802245482905,0,0,0.00011384256207933431,0,0,0,0,0,0
2021-02-11,0,0.0,0,0.2620036744440593,0,0.2208167661743263,0,0,7.780417540675287e-05,0,0,0,0,0,0
2021-02-12,0,0.0,0,0.257055409345762,0,0.2208167661743263,0,0,0.000237157941084994,0,0,0,0,0,0
2021-02-16,0,0.0,0,0.2160974364732878,0,0.2208167661743263,0,0,0.000533530237175422,0,0,0,0,0,0
2021-02-17,0,0.0643564356435643,0,0.1772718302672738,0,0.2208167661743263,0,0,8.17193753940583e-05,0,0,0,0,0,0
2021-02-18,0,0.0643564356435643,0,0.1925798322794505,0,0.2208167661743263,0,0,1.5819634813445895e-05,0,0,0,0,0,0
2021-02-19,0,0.0666666666666666,0,0.2299327063503898,0,0.8433451118963488,1,0,1.5123296718277088e-06,0,0,0,0,0,0
2021-02-22,0,0.2024539877300613,0,0.2562552040475911,0,0.8433451118963488,1,0,1.4361645114087796e-06,0,0,0,0,0,0
2021-02-23,0,0.4615384615384615,1,0.3998780343312705,1,0.9954319761668324,1,0,1.1731548401569193e-07,0,0,0,0,0,0
2021-02-24,0,0.3684210526315789,1,0.3334519223692573,1,0.8433451118963488,1,0,3.1487854266387004e-07,0,0,0,0,0,0
2021-02-25,0,0.1333333333333333,0,0.1871958715742435,0,0.8433451118963488,1,0,1.6282909252619608e-08,0,0,0,0,0,0
2021-02-26,1,0.2487046632124352,0,0.3980324885631968,1,0.9954319761668324,1,0,1.6119777885357613e-12,0,0,0,0,0,0
2021-03-01,0,0.3684210526315789,1,0.4422776247705302,1,0.9954319761668324,1,0,1.1376310955463554e-11,0,0,0,0,0,0
2021-03-02,0,0.2307692307692307,0,0.2310093395481265,0,0.2208167661743263,0,0,8.783512425046248e-07,0,0,0,0,0,0
2021-03-03,1,0.4615384615384615,1,0.4865159216703218,1,0.9954319761668324,1,0,5.681019061409629e-08,0,0,0,0,0,0
2021-03-04,1,0.5690140845070423,1,0.6205172932586812,1,0.9954319761668324,1,0,3.27512852059509e-10,0,0,0,0,0,0
2021-03-05,1,0.4615384615384615,1,0.6328111374444975,1,0.9954319761668324,1,0,1.474608034132674e-11,0,0,0,0,0,0
2021-03-08,1,0.2857142857142857,0,0.4473410353773472,1,0.2208167661743263,0,0,1.604714469513455e-07,0,0,0,0,0,0
2021-03-09,1,0.6395348837209304,1,0.6675902570551017,1,0.9954319761668324,1,0,3.054684568376528e-08,0,0,0,0,0,0
2021-03-10,0,0.2307692307692307,0,0.4771136204595392,1,0.857298356373136,1,0,1.1775802613664716e-06,0,0,0,0,0,0
2021-03-11,0,0.1576923076923077,0,0.3362794649018,1,0.2208167661743263,0,0,8.40343465776183e-06,0,0,0,0,0,0
2021-03-12,0,0.1333333333333333,0,0.2363639498210087,0,0.2208167661743263,0,0,0.00015068668842841315,0,0,0,0,0,0
2021-03-15,0,0.1576923076923077,0,0.3175476676124851,1,0.2208167661743263,0,0,0.0011035675747268102,0,0,0,0,0,0
2021-03-16,0,0.1576923076923077,0,0.2660342847015264,0,0.0311802245482905,0,0,0.002827256301527192,0,0,0,0,0,0
2021-03-17,0,0.1576923076923077,0,0.3571804943109266,1,0.2208167661743263,0,0,0.003868065890240045,0,0,0,0,0,0
2021-03-18,0,0.1333333333333333,0,0.2924236674981326,0,0.2208167661743263,0,0,0.0029918952630179794,0,0,0,0,0,0
2021-03-19,0,0.59818081502615,1,0.6172218737877052,1,0.9954319761668324,1,0,0.009206727072630021,0,0,0,0,0,0
2021-03-22,0,0.5690140845070423,1,0.6017415701168086,1,0.9954319761668324,1,0,0.03280933424717059,0,0,0,0,0,0
2021-03-23,1,0.3684210526315789,1,0.4939952804653528,1,0.8433451118963488,1,0,0.07535108129742041,0,0,0,0,0,0
2021-03-24,1,0.6395348837209304,1,0.6136328080773745,1,0.9954319761668324,1,0,0.10225111737412378,0,0,0,0,0,0
2021-03-25,1,0.75,1,0.6787749240291657,1,0.9954319761668324,1,0,0.1407193837140339,0,0,0,0,0,0
2021-03-26,1,0.5690140845070423,1,0.4891014485143818,1,0.9954319761668324,1,0,0.23280009549495195,0,0,0,0,0,0
2021-03-29,1,0.2307692307692307,0,0.226263567079765,0,0.2208167661743263,0,1,0.6475227978989816,0,0,0,0,0,0
2021-03-30,1,0.4615384615384615,1,0.3498764080836947,1,0.2208167661743263,0,1,0.7349417092307998,1,1,1,1,0,0
2021-03-31,1,0.3684210526315789,1,0.3670297768864652,1,0.2208167661743263,0,1,0.8905992712090417,1,1,1,1,0,0
2021-04-01,1,0.2487046632124352,0,0.2385208233325369,0,0.2208167661743263,0,1,0.9438202797706513,0,0,0,0,0,0
2021-04-05,0,0.0,0,0.1581034434089941,0,0.0311802245482905,0,1,0.98199176481705,0,0,0,0,0,0
2021-04-06,1,0.0,0,0.1710621243610754,0,0.0311802245482905,0,1,0.9983922198886118,0,0,0,0,0,0
2021-04-07,1,0.0375,0,0.2078136145242668,0,0.0311802245482905,0,1,0.9998439507714425,0,0,0,0,0,0
2021-04-08,1,0.0,0,0.171207573091126,0,0.0311802245482905,0,1,0.9999809127691978,0,0,0,0,0,0
2021-04-09,0,0.0,0,0.1700096161816776,0,0.0311802245482905,0,1,0.9999849884087667,0,0,0,0,0,0
2021-04-12,0,0.0,0,0.1699406200340684,0,0.0311802245482905,0,1,0.9999907667068956,0,0,0,0,0,0
2021-04-13,0,0.0,0,0.2135035365523433,0,0.0311802245482905,0,1,0.9999884064849476,0,0,0,0,0,0
2021-04-14,1,0.0375,0,0.2038378030345831,0,0.0311802245482905,0,1,0.9999853148606761,0,0,0,0,0,0
2021-04-15,0,0.1333333333333333,0,0.2673856211528193,0,0.2208167661743263,0,1,0.9999703196897834,0,0,0,0,0,0
2021-04-16,0,0.1333333333333333,0,0.2381611800428164,0,0.2208167661743263,0,1,0.9999891219477415,0,0,0,0,0,0
2021-04-19,0,0.2857142857142857,0,0.3676449166275205,1,0.4201877934272277,1,1,0.9999854762135936,0,0,1,1,1,1
2021-04-20,1,0.3684210526315789,1,0.3564949822452296,1,0.2208167661743263,0,1,0.999949350539167,1,1,1,1,0,0
2021-04-21,0,0.4615384615384615,1,0.3603296353127169,1,0.8433451118963488,1,1,0.9998578034833677,1,1,1,1,1,1
2021-04-22,1,0.5690140845070423,1,0.4026558091088223,1,0.2208167661743263,0,1,0.9998878363988438,1,1,1,1,0,0
2021-04-23,0,0.4615384615384615,1,0.3545457417755432,1,0.8433451118963488,1,1,0.9998742836863987,1,1,1,1,1,1
2021-04-26,0,0.2307692307692307,0,0.2831240406761475,0,0.8433451118963488,1,1,0.9999791094291373,0,0,0,0,1,1
2021-04-27,0,0.3461538461538461,1,0.3454600442800358,1,0.2208167661743263,0,1,0.999971130633819,1,1,1,1,0,0
